Year,Id,SOS_doy,SOS_date,NDVI_smooth2
2014,12C,65,2014-03-07,0.21112476233181762
2014,12NW,63,2014-03-05,0.20605967642260872
2014,12NWcorner,63,2014-03-05,0.23758926222854743
2014,12SE-N,64,2014-03-06,0.17336107675162937
2014,13NE,63,2014-03-05,0.2093445274527064
2014,13NW,69,2014-03-11,0.20333067513739977
2014,13SE,77,2014-03-19,0.19804204240220535
2014,15E,85,2014-03-27,0.24105427903130527
2014,15NWS,71,2014-03-13,0.2229870053614319
2014,17N,74,2014-03-16,0.20133996854422678
2014,18N,63,2014-03-05,0.19799101890770548
2014,19N,72,2014-03-14,0.21589145625545153
2014,1E,78,2014-03-20,0.17775957082048013
2014,1W,61,2014-03-03,0.20637900568782266
2014,20SE,63,2014-03-05,0.18329964070873764
2014,21SE,62,2014-03-04,0.2168843931849081
2014,21SEcorral,59,2014-03-01,0.239943086591309
2014,21SW,75,2014-03-17,0.20848013976539523
2014,23E,56,2014-02-26,0.2553174662863806
2014,23W,59,2014-03-01,0.2595159590295587
2014,24 Grazing,56,2014-02-26,0.2273962506893575
2014,24E,75,2014-03-17,0.21663217735707865
2014,24W,70,2014-03-12,0.25031296609071046
2014,25SE,78,2014-03-20,0.23119192653475956
2014,26SE-N Pvt,53,2014-02-23,0.28847532423685684
2014,26SW-N Pvt.,64,2014-03-06,0.25851478351286394
2014,28N,57,2014-02-27,0.2226335895452931
2014,31W,59,2014-03-01,0.2166559658449052
2014,32W,71,2014-03-13,0.20413983761801904
2014,6EW,73,2014-03-15,0.17853260975295285
2014,7NW,72,2014-03-14,0.19537635099024583
2014,8SE,74,2014-03-16,0.1774922828231688
2014,ESA,73,2014-03-15,0.2342034993987721
2014,HQ,62,2014-03-04,0.19474667731162595
2014,Highway,71,2014-03-13,0.2199911615340505
2014,LTER1,71,2014-03-13,0.22760509202902895
2014,LTER2,59,2014-03-01,0.23456375637190768
2014,LTER3,64,2014-03-06,0.21706078389749406
2014,LTER4,76,2014-03-18,0.22151569897491397
2014,Northeast,79,2014-03-21,0.18255005105669714
2014,Northwest,74,2014-03-16,0.2211872358480826
2014,Pvt-12NE,66,2014-03-08,0.2016470638351459
2014,Pvt-14,63,2014-03-05,0.21701859313548966
2014,Pvt-30SW,74,2014-03-16,0.19590622467420954
2014,Pvt-6EE,78,2014-03-20,0.18710117749614982
2014,Pvt-8SW,74,2014-03-16,0.1828164642691949
2014,Pvt-FencedGarage,57,2014-02-27,0.22288099781810045
2014,Res. #2,81,2014-03-23,0.25584312345467747
2014,Sandy Elm,71,2014-03-13,0.2043545717358878
2014,Southeast,81,2014-03-23,0.21406621382593966
2014,Southwest,71,2014-03-13,0.25620210158825746
2014,Spring,61,2014-03-03,0.26344691271449455
2014,WeatherStation,57,2014-02-27,0.23330224727699458
2015,12C,63,2015-03-05,0.1839784652828953
2015,12NW,63,2015-03-05,0.17613082595512095
2015,12NWcorner,63,2015-03-05,0.19965292391036393
2015,12SE-N,63,2015-03-05,0.1539353696431435
2015,13NE,63,2015-03-05,0.17723190333036373
2015,13NW,63,2015-03-05,0.17979666883811446
2015,13SE,66,2015-03-08,0.17426639032417604
2015,15E,76,2015-03-18,0.1917123741734003
2015,15NWS,63,2015-03-05,0.19072935981867367
2015,17N,70,2015-03-12,0.1802312917448859
2015,18N,63,2015-03-05,0.17922914165543888
2015,19N,63,2015-03-05,0.1876044703489038
2015,1E,63,2015-03-05,0.15939492869895558
2015,1W,63,2015-03-05,0.16480904125557125
2015,20SE,63,2015-03-05,0.17097747217492987
2015,21SE,63,2015-03-05,0.18905290988897233
2015,21SEcorral,63,2015-03-05,0.2061906931340081
2015,21SW,68,2015-03-10,0.1889006993211706
2015,23E,63,2015-03-05,0.1771901932828618
2015,23W,63,2015-03-05,0.21932945974867288
2015,24 Grazing,63,2015-03-05,0.1730703300083073
2015,24E,63,2015-03-05,0.17326642249093063
2015,24W,63,2015-03-05,0.17498364976102063
2015,25SE,68,2015-03-10,0.17068833606737052
2015,26SE-N Pvt,64,2015-03-06,0.1859804184907643
2015,26SW-N Pvt.,66,2015-03-08,0.19178828946999701
2015,28N,63,2015-03-05,0.18742703006941094
2015,31W,63,2015-03-05,0.1735782257211161
2015,32W,63,2015-03-05,0.1707691744748482
2015,6EW,63,2015-03-05,0.16389564959089398
2015,7NW,63,2015-03-05,0.17540608511817354
2015,8SE,63,2015-03-05,0.15964894753481845
2015,ESA,63,2015-03-05,0.22258987968289995
2015,HQ,63,2015-03-05,0.1803569292043338
2015,Highway,63,2015-03-05,0.1816431590169474
2015,LTER1,63,2015-03-05,0.1930984735810798
2015,LTER2,63,2015-03-05,0.22004539701377054
2015,LTER3,63,2015-03-05,0.21040655789317547
2015,LTER4,63,2015-03-05,0.20031103171310513
2015,Northeast,67,2015-03-09,0.16220535797685143
2015,Northwest,68,2015-03-10,0.18551016096812045
2015,Pvt-12NE,63,2015-03-05,0.16881246443793727
2015,Pvt-14,63,2015-03-05,0.18156054879634317
2015,Pvt-30SW,64,2015-03-06,0.17001628127656906
2015,Pvt-6EE,66,2015-03-08,0.15659125944407534
2015,Pvt-8SW,63,2015-03-05,0.1672232793124185
2015,Pvt-FencedGarage,78,2015-03-20,0.19083045929322892
2015,Res. #2,63,2015-03-05,0.19836850130287229
2015,Sandy Elm,63,2015-03-05,0.1800704973513062
2015,Southeast,63,2015-03-05,0.17437846649272298
2015,Southwest,63,2015-03-05,0.18735325764367428
2015,Spring,63,2015-03-05,0.21789200955676777
2015,WeatherStation,63,2015-03-05,0.22513846227536233
2016,12C,60,2016-03-01,0.16200269223555339
2016,12NW,61,2016-03-02,0.16963868336246068
2016,12NWcorner,89,2016-03-30,0.2529567333960494
2016,12SE-N,63,2016-03-04,0.15286118303665738
